AGE,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,GENDER,CHILD_TOTAL,DEPENDANTS,PERSONAL_INCOME,TARGET,Complaints,Answers
34,1,0,1,2,2,11000.0,0,1,0
55,1,0,1,5,0,6000.0,0,1,0
43,1,0,1,0,0,4500.0,0,1,0
45,1,0,1,1,0,7500.0,0,1,0
62,1,0,1,2,0,23000.0,0,1,0
25,1,0,0,0,0,18000.0,0,1,0
54,1,0,1,1,0,7000.0,0,1,0
31,1,0,1,1,1,30000.0,0,1,0
42,1,0,1,1,1,9000.0,0,1,0
55,1,0,0,2,0,40000.0,1,1,0
44,1,0,1,3,0,5200.0,1,1,0
56,1,1,1,2,0,45000.0,0,1,1
56,1,0,1,2,0,11000.0,1,1,0
65,0,1,1,2,0,8000.0,0,1,0
42,1,0,1,0,0,7000.0,0,1,0
47,1,0,1,2,1,7000.0,0,1,0
50,1,0,0,4,0,29000.0,1,1,0
56,0,1,1,0,0,11000.0,0,1,0
53,1,0,1,0,0,6500.0,0,1,0
30,1,0,0,2,2,10000.0,0,1,0
26,1,0,0,0,0,12000.0,1,1,0
55,1,0,0,2,0,6000.0,0,1,0
39,1,0,0,3,2,18000.0,0,1,0
46,1,0,1,1,0,9000.0,0,1,0
33,1,0,0,0,0,10000.0,0,1,1
32,1,0,0,1,1,25000.0,0,1,0
54,0,1,1,0,0,6500.0,0,1,0
60,0,1,1,0,0,5200.0,0,1,0
39,1,0,1,1,1,17000.0,0,1,0
42,1,0,1,3,2,10000.0,0,1,1
36,1,0,1,0,0,12000.0,0,1,0
46,1,0,0,1,1,20000.0,0,1,0
47,1,0,1,2,0,14000.0,0,2,0
27,1,0,0,0,0,6000.0,0,2,0
37,1,0,0,1,1,15000.0,0,1,0
26,1,0,0,0,0,9800.0,0,1,1
32,1,0,0,1,1,30000.0,0,1,0
48,1,0,1,2,0,7000.0,0,1,0
48,1,0,1,1,0,7000.0,0,1,0
34,1,0,0,0,0,10000.0,0,1,0
25,1,0,0,0,0,20000.0,1,1,0
58,0,1,1,2,0,7800.0,0,1,1
37,1,0,1,1,1,10000.0,0,1,0
38,1,0,1,3,3,12000.0,0,1,1
57,1,0,1,2,0,18000.0,0,1,0
53,1,0,1,2,0,15000.0,0,1,1
35,1,0,1,0,0,9500.0,0,1,0
25,1,0,1,0,0,15000.0,0,1,0
46,1,0,0,1,1,10000.0,0,1,0
52,1,0,1,1,0,12000.0,0,1,0
33,1,0,1,1,1,14000.0,0,1,0
31,1,0,0,0,0,19000.0,0,1,1
56,1,0,1,0,0,9000.0,0,1,0
33,1,0,1,0,0,20000.0,0,1,0
46,1,0,1,0,0,10000.0,1,1,1
37,1,0,1,2,2,7000.0,1,1,0
64,0,1,1,0,0,5500.0,0,1,0
54,1,0,0,0,0,10000.0,0,1,1
32,1,0,0,3,3,10000.0,0,1,0
44,1,0,1,1,0,17000.0,0,1,0
48,1,0,1,2,0,5000.0,1,1,1
51,1,0,1,2,0,13900.0,0,1,0
52,1,0,1,2,0,8000.0,0,1,0
32,1,0,0,0,0,12000.0,1,1,0
40,1,0,0,0,0,23000.0,0,1,0
54,1,0,1,2,0,18000.0,0,1,0
24,1,0,1,0,0,23000.0,0,1,0
46,1,0,1,2,0,8000.0,0,1,0
30,1,0,1,1,1,20000.0,0,1,1
38,1,0,1,2,2,12000.0,0,1,1
45,1,0,1,1,1,23000.0,0,1,0
23,1,0,1,0,0,6000.0,0,1,0
56,1,0,1,0,0,11000.0,0,1,0
32,1,0,0,1,1,8500.0,0,1,0
49,1,0,0,1,1,17000.0,0,1,0
45,1,0,0,1,1,4500.0,0,1,0
55,1,0,1,2,0,6000.0,0,1,0
51,1,0,1,2,0,8000.0,0,1,0
35,1,0,0,2,2,14000.0,0,1,0
51,1,0,1,3,0,12500.0,1,1,0
52,1,0,0,2,0,15000.0,0,1,0
25,1,0,0,0,0,27000.0,0,1,1
27,1,0,1,0,0,15000.0,0,1,0
27,1,0,1,1,1,16000.0,0,1,0
31,1,0,1,1,1,8000.0,0,1,0
53,1,0,1,2,1,4300.0,0,1,0
59,1,0,1,2,0,10000.0,0,1,0
37,1,0,1,1,1,8000.0,0,1,0
42,1,0,0,1,1,12000.0,0,1,0
26,1,0,0,1,1,13000.0,0,1,0
34,1,0,1,1,1,5300.0,1,1,1
48,1,0,1,0,0,6000.0,0,1,1
26,1,0,0,0,0,7000.0,0,1,0
22,1,0,0,0,0,14000.0,0,1,0
54,1,0,1,0,0,6500.0,0,1,1
57,1,0,0,0,0,7000.0,0,1,0
34,1,0,0,2,2,15000.0,0,1,0
53,1,0,1,0,0,7000.0,0,1,0
49,1,0,1,2,0,12000.0,0,1,1
51,1,0,1,3,0,7000.0,0,1,1
52,1,0,1,0,0,5000.0,0,1,1
51,1,0,0,2,0,20000.0,0,1,0
45,1,0,0,2,2,18000.0,0,1,0
28,1,0,1,0,0,8500.0,1,1,0
32,1,0,0,2,2,40000.0,0,1,1
34,1,0,0,1,1,15000.0,0,1,0
50,1,0,1,3,1,5000.0,0,1,0
25,1,0,0,0,0,8000.0,0,1,1
52,1,0,0,0,0,14000.0,0,1,0
26,1,0,0,1,1,18000.0,0,1,0
50,1,0,1,0,0,12000.0,0,1,0
36,1,0,0,1,1,15000.0,1,1,0
40,1,0,1,2,2,8000.0,0,1,0
37,1,0,0,2,2,27000.0,0,1,0
49,1,0,1,0,0,30000.0,1,1,1
32,1,0,1,2,2,9000.0,0,1,0
24,1,0,0,0,0,15000.0,0,1,0
60,0,1,1,0,0,6300.0,0,1,0
34,1,0,1,1,1,14000.0,0,1,1
60,1,0,1,3,0,15000.0,0,1,1
28,1,0,1,0,0,10000.0,0,1,0
31,1,0,1,2,0,15000.0,0,1,0
43,1,0,1,1,0,5000.0,0,1,0
54,1,1,1,2,0,14000.0,0,1,0
28,1,0,0,0,0,7500.0,0,1,1
31,1,0,0,1,1,10000.0,0,1,0
24,1,0,0,0,0,14000.0,0,1,0
27,1,0,1,0,0,7200.0,0,1,0
35,1,0,1,1,1,30000.0,0,2,1
48,1,0,1,0,0,6000.0,0,1,0
30,1,0,1,1,1,24000.0,0,1,1
53,1,0,1,0,0,14000.0,0,1,0
32,1,0,1,0,0,16000.0,1,1,1
32,1,0,1,1,1,14000.0,1,1,1
37,1,0,0,1,1,10000.0,0,1,0
42,1,0,1,1,1,15000.0,0,1,0
28,1,0,1,1,1,12000.0,0,1,0
49,1,0,0,3,1,10000.0,0,1,1
45,1,0,1,3,2,11000.0,1,1,0
51,1,0,0,1,0,8000.0,0,1,0
57,1,0,1,0,0,13000.0,0,1,0
36,1,0,1,2,2,6000.0,0,1,0
41,1,0,1,2,2,6200.0,0,1,0
39,1,0,0,2,2,35000.0,0,1,0
28,1,0,1,1,1,12000.0,0,1,0
38,1,0,1,2,2,12000.0,0,1,0
40,1,0,1,2,1,9600.0,0,1,0
52,1,0,1,4,0,6000.0,0,1,0
44,1,0,1,1,1,17000.0,0,1,1
43,1,0,1,0,0,25000.0,0,1,0
23,1,0,0,0,0,10000.0,0,1,0
58,0,1,1,3,0,6000.0,0,1,0
27,1,0,1,0,0,12000.0,0,1,0
42,1,0,1,3,2,8600.0,0,1,1
34,1,0,0,1,1,20000.0,0,1,1
57,0,1,0,1,0,10000.0,0,1,0
42,1,0,1,2,1,20000.0,1,1,0
33,1,0,1,2,2,5000.0,0,1,0
35,1,0,1,2,2,7000.0,0,1,1
31,1,0,1,2,2,10000.0,0,1,0
29,1,0,1,1,1,10000.0,0,1,0
32,1,0,1,1,1,11000.0,0,1,0
60,0,1,1,0,0,8500.0,0,1,0
55,1,0,1,2,0,9000.0,0,1,0
49,1,0,1,2,0,11000.0,0,1,0
64,1,1,0,1,0,26000.0,0,1,0
52,1,1,1,0,0,23000.0,0,1,0
27,1,0,1,1,1,13000.0,0,1,1
47,1,0,0,0,0,25000.0,0,1,0
45,1,0,1,0,0,12000.0,0,1,0
38,1,0,0,1,1,25000.0,1,1,0
35,1,0,0,1,1,20000.0,0,1,0
47,1,0,0,3,0,7500.0,1,1,0
58,1,0,1,2,0,16000.0,0,1,1
40,1,0,1,2,0,13000.0,0,1,0
55,1,0,1,2,0,6000.0,0,1,0
41,1,0,1,2,2,12000.0,0,1,0
31,1,0,1,2,2,10000.0,0,1,1
56,1,0,0,2,0,12000.0,0,1,0
60,0,1,1,5,0,6200.0,0,1,0
38,1,0,1,0,0,20000.0,0,1,0
26,1,0,0,0,0,15000.0,0,1,1
58,0,1,1,1,1,7000.0,0,1,0
47,1,0,1,0,0,11500.0,0,1,0
56,1,0,1,0,0,13000.0,0,1,1
49,1,0,0,2,1,25000.0,0,1,0
36,1,0,0,2,2,25000.0,0,1,0
45,1,0,1,0,0,10000.0,0,2,1
37,1,0,1,3,0,8600.0,0,1,1
53,1,0,0,1,0,11500.0,0,1,0
43,1,0,0,3,1,12000.0,0,1,0
29,1,0,0,1,1,14000.0,0,1,0
57,1,0,1,0,0,25000.0,1,1,0
60,1,0,0,5,0,8000.0,0,1,0
26,1,0,0,0,0,18000.0,1,1,0
24,1,0,1,1,1,5500.0,0,1,0
44,1,0,0,2,1,15000.0,0,1,0
27,1,0,1,1,1,17000.0,0,1,0
46,1,0,1,1,1,9000.0,0,1,1
35,1,0,1,2,2,20000.0,0,1,0
29,1,0,1,0,0,8000.0,0,1,0
58,0,1,1,0,0,5200.0,0,1,0
40,0,1,1,1,1,7000.0,0,1,1
47,1,0,1,1,0,18000.0,0,1,0
28,1,0,0,0,0,40000.0,0,1,0
47,1,0,1,2,0,15000.0,1,1,1
47,1,0,0,1,0,7000.0,0,1,1
51,1,0,1,3,0,5446.0,0,1,0
42,1,0,1,0,0,20000.0,0,1,0
53,1,1,1,0,0,9000.0,0,1,0
30,1,0,0,2,2,10000.0,0,1,0
57,1,0,1,1,0,12000.0,0,1,1
56,1,0,0,2,0,14000.0,0,1,0
